Code Famille,Libellé étendu nouvelle nomenclature achat,RFD niveau 2,Type de dépenses,,,,,,,Code Famille,Principales familles utilisées au LKB
,,,Fonctionnement,,,Immobilisation (ex équipements),,,,,
,,,Achat,Location ,Crédit-bail ,Immobilisation définitive ,immobilisation en cours,Immobilisations Hors fiches immo,,,
A,APPROVISIONNEMENTS GENERAUX,,,,,,,,,A,APPROVISIONNEMENTS GENERAUX
AA,ALIMENTATION - RESTAURATION - HOTELLERIE,,,,,,,,,B,BATIMENTS - INFRASTRUCTURES - TRAVAUX - ESPACES VERTS
AA.0,PRODUITS ALIMENTAIRES CONGELES ,,,,,,,,,C,COMMUNICATION - CULTURE - DOCUMENTATION
AA.01,"PAINS, PATISSERIES, VIENNOISERIES CONGELES",C3,62570000,,,,,,,D,DEPLACEMENTS : TRANSPORT ET HEBERGEMENT DES PERSONNES
AA.02,PRODUITS CARNES CONGELES,C3,62570000,,,,,,,E,ETUDES - CONSEILS - ASSURANCES - PI - RESSOURCES HUMAINES
AA.03,PRODUITS DE LA MER OU D'EAU DOUCE CONGELES,C3,62570000,,,,,,,F,FRET / EXPEDITION / TRANSPORT / DEMENAGEMENT
AA.04,FRUITS ET LEGUMES CONGELES,C3,62570000,,,,,,,G,GAZ DE LABORATOIRE OU D'ATELIER - CRYOGENIE
AA.05,PREPARATIONS ALIMENTAIRES ET PLATS CUISINES CONGELES,C3,62570000,,,,,,,H,HYGIENE ET SECURITE AU TRAVAIL
AA.1 ,PRODUITS ALIMENTAIRES FRAIS,,,,,,,,,I,INFORMATIQUE - TELECOMMUNICATIONS - AUDIOVISUEL
AA.11,"PAINS, PATISSERIES, VIENNOISERIES FRAIS",C3,62570000,,,,,,,J,AMENAGEMENT DE LABORATOIRE ET DE SALLE DE TP
AA.12,VIANDES FRAICHES - REFRIGEREES,C3,62570000,,,,,,,K,ELEVAGE ANIMAL - EXPERIMENTATION ANIMALE - ETUDE DES ANIMAUX
AA.13,PRODUITS DE LA MER OU D'EAU DOUCE FRAIS,C3,62570000,,,,,,,L,MEDICAL
AA.14,FRUITS ET LEGUMES FRAIS OU REFRIGERES,C3,62570000,,,,,,,M,MICROSCOPIE - PROFILOMETRIE
AA.15,ŒUFS ET PRODUITS LAITIERS ,C3,62570000,,,,,,,N,CHIMIE ET BIOLOGIE
AA.16,PREPARATIONS ALIMENTAIRES ET PLATS CUISINES FRAIS - REFRIGERES,C3,62570000,,,,,,,O,OPTO - LASERS - MATERIEL D'OPTIQUE
AA.2,BOISSONS ET EPICERIE,,,,,,,,,P,PHYSIQUE - PHYSIQUE NUCLEAIRE ET CORPUSCULAIRE
AA.21,BOISSONS NON ALCOOLISEES,C3,62570000,,,,,,,Q,EXPERIMENTATION VEGETALE
AA.22,BOISSONS ALCOLISEES,C3,62570000,,,,,,,R,ATELIER - MECANIQUE - AUTOMATIQUE
AA.23,CONSERVES ET EPICERIE,C3,62570000,,,,,,,S,SPECTROMETRIE - SPECTROSCOPIE - RAYONS X
AA.3,ALIMENTATION SPECIFIQUE,,,,,,,,,T,"ELECTRONIQUE / TEST, ENERGIE, MESURES"
AA.31,ALIMENTS ADAPTES A L'ENFANT,C3,60688000,,,,,,,U,SCIENCES DE LA TERRE - GEOPHYSIQUE - ASTROPHYSIQUE - ARCHEOLOGIE
AA.32,ALIMENTS DIETETIQUES SANS FIN MEDICALE,C3,60688000,,,,,,,V,VIDE ET ULTRAVIDE : EQUIPEMENTS POUR LE VIDE ET POUR LES TECHNIQUES SOUS VIDE
AA.4,PETITES FOURNITURES ET EQUIPEMENTS POUR LA RESTAURATION,,,,,,,,,W,NANOTECHNOLOGIES - MICRO-ELECTRONIQUE
AA.41,CONSOMMABLES POUR LA RESTAURATION,F2,60630000,,,,,,,X,DEPENSES HORS ACHATS
AA.42,PETITES FOURNITURES POUR LA RESTAURATION,F2,60630000,,,,,,,,
AA.43,MOBILIER DE CUISINE ET DE SALLE DE RESTAURATION,F2,60630000,,,21840001,23180001,,,,
AA.44,"EQUIPEMENTS DE CUISINE ET DE SALLE DE RESTAURATION (ELECTROMENAGER,…)",F2,60630000,61350000,61220000,21540001,23150001,,,,
AA.5,PETITES FOURNITURES ET EQUIPEMENTS POUR L'HOTELLERIE ET LA BUANDERIE,,,,,,,,,,
AA.51,PETITES FOURNITURES POUR L'HOTELLERIE,F2,60630000,,,,,,,,
AA.52,MOBILIER D'HOTELLERIE,F2,60630000,61350000,61220000,21840001,23180001,,,,
AA.53,EQUIPEMENT POUR L'HOTELLERIE ET LA BUANDERIE,F2,60650000,61350000,61220000,21540001,23150001,,,,
AA.6,SERVICES DE RESTAURATION ET SERVICES CONNEXES,,,,,,,,,,
AA.61,SERVICES DE RESTAURATION SOCIALE (RESTAURANT PROPRE A GESTION CONCEDEE),F2,64715200,,,,,,,,
AA.62,TICKETS ET CHEQUES REPAS,F2,64714100,,,,,,,,
AA.63,SERVICES DE TRAITEURS / PLATEAUX REPAS,C3,62570000,,,,,,,,
AA.64,SERVICES DE RESTAURATION EXTERIEURS (RESTAURANTS),C3,62570000,,,,,,,,
AA.65,SERVICES DE CONTROLES SANITAIRES ET DE QUALITE,F2,62880000,,,,,,,,
AA.66,SERVICES DE BLANCHISSERIE- PRESSING POUR LA RESTAURATION ET L'HOTELLERIE,B12,62820000,,,,,,,,
AA.7,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE RESTAURATION ET HOTELLERIE,,,,,,,,,,
AA.71,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE RESTAURATION ET DE CUISINE,F2,61550000,,,,,,,,
AA.72,REPARATION ET MAINTENANCE DES EQUIPEMENTS D'HOTELLERIE ET BUANDERIE,F2,61550000,,,,,,,,
AB,BUREAU (HORS INFORMATIQUE),,,,,,,,,,
AB.0 ,"CONSOMMABLES, FOURNITURES ET EQUIPEMENTS DE BUREAU",,,,,,,,,,
AB.01,PETITES FOURNITURES ET PETITS EQUIPEMENTS DE BUREAU (HORS INFORMATIQUE),A1,60640000,,,,,,,,
AB.02,MOBILIER DE BUREAU ET DE SALLES DE REUNION,A2,60630000,61350000,,21840001,23180001,,,,
AB.1,REPARATION ET MAINTENANCE DU MOBILIER ET DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION,,,,,,,,,,
AB.11,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION,A2,61550000,,,21840001,,,,,
AC,IMPRESSION-REPROGRAPHIE,,,,,,,,,,
AC.0,PAPIERS ET CARTONS D'IMPRESSION-REPROGRAPHIE,,,,,,,,,,
AC.01,PAPIERS BLANCS OU COLORES COURANTS POUR IMPRESSION-REPROGRAPHIE,A1,60640000,,,,,,,,
AC.02,PAPIERS CARTONNES POUR IMPRESSION-REPROGRAPHIE,A1,60640000,,,,,,,,
AC.03,AUTRES SUPPORTS PAPIER SPECIFIQUES D'IMPRESSION-REPROGRAPHIE,A1,60640000,,,,,,,,
AC.1,CONSOMMABLES POUR LA REPROGRAPHIE,,,,,,,,,,
AC.11,"CONSOMMABLES POUR PHOTOCOPIEURS (ENCRES, AGRAPHES,…)",A1,60640000,,,,,,,,
AC.12,SUPPORTS SPECIFIQUES D'IMPRESSION,A2,60640000,,,,,,,,
AC.2,EQUIPEMENTS POUR REPROGRAPHIE,,,,,,,,,,
AC.21,EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE,A2,,61350000,61220000,21830001,23180001,,,,
AC.22,EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT POUR IMPRIMERIE,A2,,61350000,61220000,21830001,23180001,,,,
AC.23,AUTRES EQUIPEMENTS POUR ATELIER DE REPROGRAPHIE,A2,60630000,61350000,61220000,21830001,23180001,,,,
AC.3,SERVICES D'IMPRESSION ET DE REPROGRAPHIE,,,,,,,,,,
AC.31,SERVICES D'IMPRESSION ET DE REPROGRAPHIE,A1,62880000,,,,,,,,
AC.4,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE,,,,,,,,,,
AC.41,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE,A2,61550000,,,21830001,,,,,
AC.42,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT,A2,61550000,,,21830001,,,,,
AC.43,REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE,A2,61550000,,,21830001,,,,,
AD,PARC DE VEHICULES,,,,,,,,,,
AD.0,"FOURNITURES, CONSOMMABLES ET PETITS EQUIPEMENTS POUR LE PARC DE VEHICULES",,,,,,,,,,
AD.01,ACCESSOIRES ET PIECES DETACHEES POUR LE PARC DE VEHICULES,C4,60630000,,,,,,,,
AD.02,"MATERIEL, OUTILLAGE ET EQUIPEMENTS DE GARAGE ",C4,60630000,61350000,61220000,21540001,23150001,,,,
AD.03,PRODUITS POUR L'ENTRETIEN DES VEHICULES,C4,60612000,,,,,,,,
AD.04,MATERIEL D'ESSAIS DE CHOCS ET ACCESSOIRES,B10,60670000,,,21540001,,,,,
AD.1,PARC VEHICULE (ACHAT OU LOCATION DE LONGUE DUREE),,,,,,,,,,
AD.11,VEHICULES AUTOMOBILES DE TRANSPORT DE PERSONNES (ACHAT OU LOC. LONGUE DUREE),C4,,61350000,61220000,21820001,23180001,,,,
AD.12,VEHICULES AUTOMOBILES DE TRANSPORT EN COMMUN (ACHAT OU LOC. LONGUE DUREE),C4,,61350000,61220000,21820001,23180001,,,,
AD.13,VEHICULES AUTOMOBILES DE TRANSPORT DE MARCHANDISES (ACHAT OU LOC. LONGUE DUREE),C4,,61350000,61220000,21820001,23180001,,,,
